0.0000,0.000914,-0.001074
0.0200,0.000914,-0.001074
0.0400,0.000914,-0.001074
0.0600,0.000914,-0.001074
0.0800,0.000914,-0.001074
0.1000,0.000914,-0.001074
0.1200,0.000914,-0.001074
0.1400,0.000914,-0.001074
0.1600,0.000914,-0.001074
0.1800,0.000914,-0.001074
0.2000,0.000914,-0.001074
0.2200,0.000914,-0.001074
0.2400,0.000914,-0.001074
0.2600,0.000914,-0.001074
0.2800,0.000914,-0.001074
0.3000,0.000914,-0.001074
0.3200,0.000914,-0.001074
0.3400,0.000914,-0.001074
0.3600,0.000914,-0.001074
0.3800,0.000914,-0.001074
0.4000,0.000914,-0.001074
0.4200,0.000914,-0.001074
0.4400,0.000914,-0.001074
0.4600,0.000914,-0.001074
0.4800,0.000914,-0.001074
0.5000,0.000914,-0.001074
0.5200,0.000953,0.001059
0.5400,0.000457,-0.001247
0.5600,0.000148,-0.001638
0.5800,-0.000155,-0.001648
0.6000,-0.000480,-0.001589
0.6200,-0.000821,-0.001529
0.6400,-0.001184,-0.001476
0.6600,-0.001542,-0.001439
0.6800,-0.001908,-0.001404
0.7000,-0.002289,-0.001371
0.7200,-0.002686,-0.001340
0.7400,-0.003097,-0.001313
0.7600,-0.003503,-0.001295
0.7800,-0.003950,-0.001523
0.8000,-0.004350,-0.001308
0.8200,-0.004870,-0.001834
0.8400,-0.005244,-0.001314
0.8600,-0.005651,-0.001093
0.8800,-0.006017,-0.000990
0.9000,-0.006384,-0.000917
0.9200,-0.006757,-0.000853
0.9400,-0.007135,-0.000794
0.9600,-0.007531,-0.000735
0.9800,-0.007930,-0.000677
1.0000,-0.008339,-0.000621
1.0200,-0.008756,-0.000564
1.0400,-0.009153,-0.000498
1.0600,-0.009519,-0.000428
1.0800,-0.009884,-0.000381
1.1000,-0.010195,-0.000302
1.1200,-0.010375,-0.000243
1.1400,-0.010573,-0.000196
1.1600,-0.010788,-0.000145
1.1800,-0.010998,-0.000108
1.2000,-0.011176,-0.000066
1.2200,-0.011332,-0.000011
1.2400,-0.011486,0.000046
1.2600,-0.011639,0.000102
1.2800,-0.011797,0.000160
1.3000,-0.011958,0.000216
1.3200,-0.012122,0.000272
1.3400,-0.009377,0.000381
1.3600,-0.008439,0.000243
